gwion              6.801 +- 0.903 seconds time elapsed  ( +- 13.28% )
wren              26.09 +- 2.31 seconds time elapsed  ( +-  8.86% )
lua              14.36 +- 1.70 seconds time elapsed  ( +- 11.81% )
python              48.91 +- 3.95 seconds time elapsed  ( +-  8.08% )
chuck              40.33 +- 8.30 seconds time elapsed  ( +- 20.59% )
ruby              15.38 +- 4.74 seconds time elapsed  ( +- 30.84% )
horse64             31.630 +- 0.168 seconds time elapsed  ( +-  0.53% )
dictu             14.157 +- 0.157 seconds time elapsed  ( +-  1.11% )
vyse            14.9333 +- 0.0216 seconds time elapsed  ( +-  0.14% )
