gwion            0.07467 +- 0.00267 seconds time elapsed  ( +-  3.58% )
wren           0.233146 +- 0.000460 seconds time elapsed  ( +-  0.20% )
lua            0.19467 +- 0.00273 seconds time elapsed  ( +-  1.40% )
python            0.52500 +- 0.00478 seconds time elapsed  ( +-  0.91% )
chuck            19.3130 +- 0.0468 seconds time elapsed  ( +-  0.24% )
ruby            0.21601 +- 0.00652 seconds time elapsed  ( +-  3.02% )
horse64            0.48728 +- 0.00611 seconds time elapsed  ( +-  1.25% )
dictu            0.23324 +- 0.00784 seconds time elapsed  ( +-  3.36% )
vyse            0.20755 +- 0.00122 seconds time elapsed  ( +-  0.59% )
