gwion            0.10439 +- 0.00108 seconds time elapsed  ( +-  1.04% )
wren            0.13080 +- 0.00226 seconds time elapsed  ( +-  1.73% )
lua            0.26164 +- 0.00622 seconds time elapsed  ( +-  2.38% )
python            0.80743 +- 0.00532 seconds time elapsed  ( +-  0.66% )
ruby            0.23558 +- 0.00453 seconds time elapsed  ( +-  1.92% )
horse64            0.69074 +- 0.00211 seconds time elapsed  ( +-  0.31% )
dictu            0.24107 +- 0.00474 seconds time elapsed  ( +-  1.97% )
vyse            0.36637 +- 0.00468 seconds time elapsed  ( +-  1.28% )
