gwion            0.23139 +- 0.00248 seconds time elapsed  ( +-  1.07% )
wren             0.2931 +- 0.0105 seconds time elapsed  ( +-  3.57% )
lua            0.27491 +- 0.00374 seconds time elapsed  ( +-  1.36% )
python            0.39661 +- 0.00420 seconds time elapsed  ( +-  1.06% )
chuck             18.864 +- 0.156 seconds time elapsed  ( +-  0.82% )
ruby            0.28235 +- 0.00948 seconds time elapsed  ( +-  3.36% )
horse64            1.04452 +- 0.00942 seconds time elapsed  ( +-  0.90% )
dictu            0.45305 +- 0.00391 seconds time elapsed  ( +-  0.86% )
vyse            0.43620 +- 0.00725 seconds time elapsed  ( +-  1.66% )
