gwion             0.0647 +- 0.0107 seconds time elapsed  ( +- 16.53% )
wren            0.12322 +- 0.00161 seconds time elapsed  ( +-  1.30% )
lua            0.08292 +- 0.00128 seconds time elapsed  ( +-  1.54% )
python             0.3912 +- 0.0307 seconds time elapsed  ( +-  7.84% )
chuck              50.43 +- 16.24 seconds time elapsed  ( +- 32.20% )
ruby             0.2249 +- 0.0102 seconds time elapsed  ( +-  4.52% )
horse64            0.16991 +- 0.00354 seconds time elapsed  ( +-  2.08% )
dictu            0.12479 +- 0.00136 seconds time elapsed  ( +-  1.09% )
vyse           0.056115 +- 0.000838 seconds time elapsed  ( +-  1.49% )
