gwion           0.021884 +- 0.000987 seconds time elapsed  ( +-  4.51% )
wren            0.21964 +- 0.00133 seconds time elapsed  ( +-  0.61% )
lua           0.107958 +- 0.000631 seconds time elapsed  ( +-  0.58% )
python            0.41445 +- 0.00407 seconds time elapsed  ( +-  0.98% )
chuck              39.45 +- 12.52 seconds time elapsed  ( +- 31.75% )
ruby            0.79377 +- 0.00902 seconds time elapsed  ( +-  1.14% )
horse64            0.28818 +- 0.00418 seconds time elapsed  ( +-  1.45% )
dictu            0.17876 +- 0.00149 seconds time elapsed  ( +-  0.83% )
vyse            0.15941 +- 0.00113 seconds time elapsed  ( +-  0.71% )
